Code,Indicator Name,Long definition,Source
WP11635.2,"Used an account at a financial institution to receive government transfers, male (% age 15+) [w1]","Denotes the percentage of respondents who report using their accounts at a formal financial institution to receive money or payments from the government in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11636.3,"Used an account at a financial institution to receive remittances, female (% age 15+) [w1]","Denotes the percentage of respondents who report using their accounts at a formal financial institution to receive money from family members living elsewhere in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11636.2,"Used an account at a financial institution to receive remittances, male (% age 15+) [w1]","Denotes the percentage of respondents who report using their accounts at a formal financial institution to receive money from family members living elsewhere in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11634.3,"Used an account at a financial institution to receive wages, female (% age 15+) [w1]","Denotes the percentage of respondents who report using their accounts at a formal financial institution to receive money or payments for work or from selling goods in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11634.2,"Used an account at a financial institution to receive wages, male (% age 15+) [w1]","Denotes the percentage of respondents who report using their accounts at a formal financial institution to receive money or payments for work or from selling goods in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11637.3,"Used an account at a financial institution to send remittances, female (% age 15+) [w1]","Denotes the percentage of respondents who report using their accounts at a formal financial institution to send money to family members living elsewhere in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11637.2,"Used an account at a financial institution to send remittances, male (% age 15+) [w1]","Denotes the percentage of respondents who report using their accounts at a formal financial institution to send money to family members living elsewhere in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP15161_1.3,"Used an account to make a transaction through a mobile phone, female (% age 15+) [w2]","Denotes the percentage of respondents who report making a transaction with money from their account at a bank or another type of financial institution using a mobile phone in the past 12 months. This can include using a mobile phone to make payments, to make purchases, or to send or receive money (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15161_1.2,"Used an account to make a transaction through a mobile phone, male (% age 15+) [w2]","Denotes the percentage of respondents who report making a transaction with money from their account at a bank or another type of financial institution using a mobile phone in the past 12 months. This can include using a mobile phone to make payments, to make purchases, or to send or receive money (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15177_3.3,"Used an account to receive government transfers, female (% age 15+) [w2]","Denotes the percentage of respondents who report receiving any financial support from the government directly into an account at a bank or another type of financial institution, into a card, or through a mobile phone in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15177_3.2,"Used an account to receive government transfers, male (% age 15+) [w2]","Denotes the percentage of respondents who report receiving any financial support from the government directly into an account at a bank or another type of financial institution, into a card, or through a mobile phone in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
